City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aksu,41.1231,80.2644,85.64,20,0,9.04,CN,1658293787
Phan Thiet,10.9333,108.1,83.66,73,100,9.35,VN,1658293787
Alberton,46.8168,-64.0654,65.05,87,36,20.58,CA,1658293787
Vaini,-21.2,-175.2,73.56,100,20,11.5,TO,1658293787
Nome,64.5011,-165.4064,46.47,71,100,5.75,US,1658293536
Rikitea,-23.1203,-134.9692,74.16,76,1,7.31,PF,1658293788
Hobart,-42.8794,147.3294,49.86,67,20,4.61,AU,1658293788
Norman Wells,65.282,-126.8329,62.55,56,8,2.59,CA,1658293789
Ushuaia,-54.8,-68.3,37.06,87,75,13.8,AR,1658293789
Bairiki Village,1.3292,172.9752,82.4,83,75,10.36,KI,1658293789
Nikolskoye,59.7035,30.7861,61.79,78,26,10.69,RU,1658293790
Cherskiy,68.75,161.3,46.54,62,94,15.61,RU,1658293790
Katsuura,35.1333,140.3,89.62,78,93,8.43,JP,1658293790
Barrow,71.2906,-156.7887,42.82,81,100,11.5,US,1658293791
Ribeira Grande,38.5167,-28.7,71.49,89,17,4.88,PT,1658293791
Arraial do Cabo,-22.9661,-42.0278,68.16,91,0,6.55,BR,1658293791
Bredasdorp,-34.5322,20.0403,44.78,87,11,3.22,ZA,1658293792
Leningradskiy,69.3833,178.4167,33.4,98,100,20.51,RU,1658293792
Lavrentiya,65.5833,-171.0,42.3,72,96,8.95,RU,1658293792
Tuatapere,-46.1333,167.6833,43.23,84,97,1.86,NZ,1658293792
Nyurba,63.2842,118.3319,65.5,58,97,8.93,RU,1658293793
Punta Arenas,-53.15,-70.9167,35.71,64,75,47.18,CL,1658293793
Yellowknife,62.456,-114.3525,59.65,86,93,12.26,CA,1658293793
Bubaque,11.2833,-15.8333,78.37,83,98,15.95,GW,1658293794
East London,-33.0153,27.9116,61.68,86,98,13.62,ZA,1658293794
Mulanje,-16.0316,35.5,63.0,78,37,2.33,MW,1658293794
Martinez,38.0194,-122.1341,73.26,67,0,5.75,US,1658293530
